title,link
History - adidas Group,https://www.adidas-group.com/en/about/history
Adidas - Wikipedia,https://en.wikipedia.org/wiki/Adidas
Adidas %7C History%2C Products%2C & Facts %7C Britannica Money,https://www.britannica.com/money/Adidas-AG
The History of adidas: A Background of Collaboration and Innovation,https://www.adidas-group.com/en/magazine/innovation/the-history-of-adidas-a-background-of-collaboration-and-innovation
adidas History: 1949 to Now,https://www.adidas.com/us/blog/392942-adidas-history-1949-to-now
Adidas %7C Company Profile - Vault,https://vault.com/company-profiles/general-consumer-products/adidas
The History of adidas: Moments that Made the Brand,https://thesolesupplier.co.uk/news/the-history-of-adidas/
adidas Logos: History and Meaning,https://www.adidas.com/us/blog/932571-adidas-logos-history-and-meaning
A Brief History of Adidas - ThoughtCo,https://www.thoughtco.com/quick-history-of-adidas-1444319
The History of Adidas - YouTube,https://www.youtube.com/watch?v=LJ7l-IXRx-8
