title,link
History - adidas Group,https://www.adidas-group.com/en/about/history
Adidas - Wikipedia,https://en.wikipedia.org/wiki/Adidas
Adidas %7C History%2C Products%2C & Facts %7C Britannica Money,https://www.britannica.com/money/Adidas-AG
The History of adidas: A Background of Collaboration and Innovation,https://www.adidas-group.com/en/magazine/innovation/the-history-of-adidas-a-background-of-collaboration-and-innovation
Adidas %7C Company Profile - Vault,https://vault.com/company-profiles/general-consumer-products/adidas
adidas History: 1949 to Now,https://www.adidas.com/us/blog/392942-adidas-history-1949-to-now
The dark history behind Adidas %E2%80%94 how a bitter feud between Nazis ...,https://www.businessofbusiness.com/articles/the-dark-history-behind-adidas-how-a-bitter-feud-between-nazis-built-the-worlds-no-2-athletic-brand/
The History of Adidas - YouTube,https://www.youtube.com/watch?v=LJ7l-IXRx-8
The History of adidas: Moments that Made the Brand,https://thesolesupplier.co.uk/news/the-history-of-adidas/
Adidas Company Guide History Facts,https://www.kickscrew.com/blogs/sneakernews/adidas-company-guide-history-facts?srsltid=AfmBOoowiSBh8mlwXPfkkS7oKjUWN6lzAh1kTl-n6ieWccoFjucLjhxw
