title,source,link,price,delivery,imageUrl,rating,ratingCount,offers,productId,position
"Adidas Originals SL 72 RS Men's Shadow Red/Off White/Blue Shoes, Size: 12.5",Nordstrom Rack,https://www.nordstromrack.com/s/adidas-gender-inclusive-sl-72-rs-sneaker/7608560?color=SHADOW+RED+OFF+WHITE&size=13.5+women's+%2F+12.5+men's&utm_source=google&utm_medium=organic&utm_campaign=seo_shopping&utm_channel=low_nd_seo_shopping&srsltid=AfmBOooKFi67-1qYu91F1G-2p6nOkm2Sj3y_-os6scbM8bMFxJUtznGr6nE,$69.97,$9.95 shipping,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTPGCrrkPRC9vw7wRJvCMKBeLRBPZslfeUXT3sBm97JaKvNSdz34uluuF5pFnasS7kShIyXQg&usqp=CAE,4.5,612,10+,4915450528607353735,1
adidas Men's CODECHAOS 25 BOA Spikeless Shoes,Realry,https://realry.com/products/67681bef952d34e18e06a3cb?srsltid=AfmBOooKtmGOdv0b9OIkKi-PP72Ayg7kStZahlC7ZAreM_15z44-1x5leRY,$180.00,Free shipping,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcT1UZ7WTyjodeY_pabNSJWj-JM-GNdLSZy69HXAt9Y_cIuoP5gHhA6IX046w-Kpzc1d-YNhww&usqp=CAE,5,276,2
Adidas Pro Model 2G 'Chinese New Year',GOAT,https://www.goat.com/sneakers/pro-model-2g-chinese-new-year-fw5423?srsltid=AfmBOoqKJKmQdnaHA0MZ144Jyv3bkFAl1So9IRcMgCz0d1ou9ENMXizRftA,$358.00,$14.75 shipping,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQ8Jz5oL8gfjauPs4w1mGLRWw54R2Dw0BFODJ0EJ_YzJsncOAVSRWpRQsqaCcBJv4IbsXyz&usqp=CAE,5,2,3
Adidas Big Kid Boys Big Kid Breakstart Low Sneaker Boy's Red Basketball Sneakers Size 4M 809346 | Rack Room Shoes,Rack Room Shoes,https://www.rackroomshoes.com/p/adidas-boys-big-kid-breakstart-low-sneaker/809346?utm_source=google&utm_medium=organicshopping&utm_campaign=adidas,$49.99,$6.99 shipping,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRjgnZddmPYzojcu65vvXG_4gbjYtjPbEHDXzSlVtbNqzJ-59zTMmJzoqxX69V6PEov88Ug&usqp=CAE,2,13624591157147176304,4
Adidas U_Path Run Off White Core Black Shock Red - Size 5 Men,Flight Club,https://www.flightclub.com/u_path-run-off-white-ee4465?size=5&srsltid=AfmBOopMc0MfWjGAPBBsT1nejnE5OQS4jXht4CxN64eZdvxsKjZeIA321cg,$50.00,$49.75 shipping,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRrpCw34mOgjonKtGWSeM-7slric42q6IALF_LMiSoMBVS2tIbgSKkqUIJDigx71a2hK0li1Q&usqp=CAE,4.5,325,2,11371654844195402286,5
"Adidas Break Start Men's Basketball Shoes, Size: 13, Red Red White",Zappos.com,https://www.zappos.com/product/9954138/color/1081980?utm_medium=fpa&utm_campaign=free_listings,$61.55,Free shipping,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcT9kGeNmjXxfE7YtqMQNZ9SmgZj3XBMm-bfwOR0646vQuWHZpLf-YgHfVg0Up7ZYGfl_LQT&usqp=CAE,4.5,56,5+,15924964265297447618,6
Adidas Originals Ozweego,Lyst,https://www.lyst.com/shoes/adidas-originals-adidas-ozweego-bliss-2/?product=GBDRXSM&link_id=949526702&_country=US&size=9.5&show_express_checkout=true&atc_medium=cpc&atc_campaign=USA-PLA-FL&srsltid=AfmBOoqBOq9FPoAXLIA4dOmGThXGItv4N7i3na2n0uOrILGRGDOhJAhWxR0,$102.00,$35.00 shipping,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTttJDHcERJQ3UOXtYm1f6SUG_BG4vve_5x5EmYq1JBH8jHuw6FH1oiLsQl&usqp=CAE,4.5,1,4,15588220451053209175,7
Adidas Pro Model 2G Low 'Black White' | Men's Size 9.5,POIZON,https://www.poizon.com/product/adidas-pro-model-2g-low-black-white-us-m-9-5-sk821615443?srsltid=AfmBOoqW4rpINPWCpmJi3xx7306c_ZSxkUYY1hA_bn5O9-uHb_Bc66jtpfI,$147.00,$12.99 shipping,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTiX3hoJfPIlVcTgrAp1gOnA_Qpq-S6J7zXWpO0SLnXiyN4-5maMaGNodgmwgsi9KdoRU64&usqp=CAE,4.5,79,4,14183828934232149661,8
Adidas Adipower Vector 20 Cricket Shoes - White - Size US 12,SportsShoes.com,https://www.sportsshoes.com/product/adi17781/adidas-adipower-vector-20-cricket-shoes---ss25?cur=USD&srsltid=AfmBOoqpdAvQ6zw1ldrUUcMjSL9WN_D8odHn4wgPgo6PRRj3xT2FyE9hUcE,$160.28,$19.99 shipping,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRTz2Xmy2gaQUtr5eKJZmSbxiqjvJgqVsckAnZBBFv3tp240vxQcuYLLLYkc6LbzDSriwpJ&usqp=CAE,5,1,9
Adidas Men's Advantage 2.0 Sneaker,Stylight Inc.,https://www.stylight.com/Item/Adidas/Advantage-2-0-Low-Top-Sneaker-In-Green-Lucid-Lemon-Off-White-At-Nordstrom-Rack-Size-10-5--419dc8fd-6cdb-503e-9c1a-2d665abc2343/?utm_source=google_shopping&utm_medium=cpc&utm_content=google_shopping_us&utm_campaign=18469&campaignId=18469,$54.97,$9.95 shipping,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcT0lIE0ihKk9PwyZFRM1g_ZxXg7Raf_6Gc4gM17im8n4glx0yAybI0sy3CmE27bL_Bm7wko&usqp=CAE,4.5,141,3,1887290800125532405,10
