title,source,link,price,delivery,imageUrl,rating,ratingCount,offers,productId,position
Puma Men%27s Ignite Elevate Golf Shoes%2C Size 12%2C Navy/Silver,DICK%27S Sporting Goods,https://www.dickssportinggoods.com/p/puma-mens-ignite-elevate-golf-shoes-23pummgntlvt23nvygsh/23pummgntlvt23nvygsh?sku=23734734&srsltid=AfmBOooMKMPmbmeVW_ui5Smu73b6Zz4ka_Utm_Mlh_7BbL-KWrtc2Ex7ECk,$129.99,Free shipping,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTtM0vPn7PH8oIY4MxFxnyxgP0nN9ShCVi-SrCOtgARm9AvzAIIRpOPXG5J&usqp=CAE,None,None,10%2B,9183016878950042441,None
Puma Turin III Men%27s Sneakers%2C Dark Blue%2C 11.5,shoebacca.com,https://www.shoebacca.com/products/turin-iii-lace-up-sneakers-38303716,$54.95,Free shipping,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQ3KSX_fSQ6tVjq9Jz0e2TGTXiWlxc34Q39byUUX7545BYcMedU6jykSbdNdFF_rvsccWfX&usqp=CAE,None,None,None
Puma Club 5v5 Men%27s Sneakers%2C Black/White/Gold%2C 7.5,Nordstrom Rack,https://www.nordstromrack.com/s/puma-club-5v5-sneaker-men/7486234?color=PUMA%2BBLACK-PUMA%2BWHITE-GOLD&size=7.5&utm_source=google&utm_medium=organic&utm_campaign=seo_shopping&utm_channel=low_nd_seo_shopping&srsltid=AfmBOoqlnvNLElqEhKerrq9O5orGPkJsTaluB1G7s2mNTigW2th4vy5A8ls,$49.97,$9.95 shipping,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTgFcbIR9afyom5GgpCWPtV1T-JsMSa746EnIrzWszIdgN4Ye8kYKvaLHw54NoJUavtl35wJg&usqp=CAE,None,None,4,17987515456009677299,None
Puma Star Vital Women%27s Training Shoes%2C Black/Rose Gold%2C 10,JCPenney,https://www.jcpenney.com/p/puma-star-vital-womens-running-shoes/ppr5008307075?pTmplType=regular&country=US&currency=USD&selectedSKUId=61051690109&selectedLotId=6105169&fromBag=true&utm_medium=cse&utm_source=google&utm_campaign=Running%2520Shoes&cid=cse%257Cgoogle%257CWomens%257CRunning%2520Shoes_61051690109,$59.99,$8.95 shipping,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSjDPhpqFrKam1c5KM6c3OKGvK9cpRKoWwxdprLMFBEZEo41i1BDUH6VdUBUlLuAe5K56EmwA&usqp=CAE,None,None,2,5013254606500924397,None
Puma Axelion Fade 2 Running Shoe - Men%27s,Rack Room Shoes,https://www.rackroomshoes.com/p/puma-mens-axelion-sneaker/601842?utm_source=google&utm_medium=organicshopping&utm_campaign=puma,$79.99,Free shipping,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQ4biLvMYG2UOk7NrfQ0TFTESiD548TPfuouwFAAS2e8bx2JvuAzaWYY5Hq2rUYPazyohV8&usqp=CAE,2,14413256131923691222,None
Puma Dagger Men%27s Basketball Shoes%2C Black%2C 8.5,Zappos.com,https://www.zappos.com/product/10003036/color/1091890?utm_medium=fpa&utm_campaign=free_listings,$58.28,Free shipping,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcT_kcsH8f8BHUnlGQxq4jpD5_93-NILmSPDDYxH4cVzEgk6wew51ri7-awnL1Ypec75xn5XFw&usqp=CAE,None,None,5%2B,18410691011680408480,None
Puma Men%27s Flexfocus Lite Better Knit Sneaker,BeyondStyle,https://www.beyondstyle.us/prod/puma-flexfocus-lite-better-knit?id=zappos_9931750&utm_source=google_shopping&color=PUMA-Black-Lime-Pow&size=7&srsltid=AfmBOoowNjDU_0ynY8c2Q-AJY1UNbo2GhIWLsPQ6RSZOsTWsl9kXJnH4Pgg,$56.57,Free shipping,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQRxMcIIQy71UUwDfLUvSg4bFEzIgVJwxrlAIj6TIegbc6odQMl8NEivBXB0WuPp4SJ2KQ3oA&usqp=CAE,None,None,5%2B,778602356294538014,None
Puma Men%27s Ignite Flash Evoknit Sneaker%2C Size: 10%2C Black,Nomads,https://shopnomads.com/products/puma-ignite-flash-evoknit-mens-fashion-shoes?variant=14384027992108&utm_source=google&utm_medium=cpc&utm_campaign=Google%2BShopping&currency=USD&country=US&srsltid=AfmBOopIhbfgWzq8FahzLBmDLB0Ab_H1W3t9BtIzxaWUs0Gks79S6s8Oyc0,$51.99,$11.99 shipping,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTQKxE3K96WN0WJi1WFIWXIV09ZKTgI4hXKefErkM7KAK-B272UoQu_U3ul3k1KSGpy8RO_&usqp=CAE,None,None,None
Puma Men%27s Pounce Lite Running Shoe - Black - Low-top Sneakers - 13,Lyst,https://www.lyst.com/shoes/puma-pounce-lite-running-shoe/?product=JKMWFVW&link_id=1108422460&_country=US&size=13&show_express_checkout=true&atc_medium=cpc&atc_campaign=USA-PLA-FL&srsltid=AfmBOoown0LJLLNyt6E4gai6_25g2lJGU41F_zu7OA--6UtNnaDFKzxGQ4k,$49.97,$9.95 shipping,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQdVTgMRWp-LfIADiedC25i-nI5LUKR0Ni2VSLPJERYV0-RWO5VMAmy2oLKIwEomP4Zk26T&usqp=CAE,2,15212470283596613756,None
Puma Court Classic Vulcanised Formstrip Unisex Sneakers%2C Red%2C 8.5,PUMA,https://us.puma.com/us/en/pd/court-classic-vulcanised-formstrip-unisex-sneakers/396353?swatch=20&size=0230&srsltid=AfmBOoopBR6KsInaSIpAsnlfBmmfpKMyzc1-HyqquWDKtrhTpSGsCC9Zsm8,$54.99,$8.00 shipping,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQCo1nlWJ3-gDD8Xgjbz80T6jmpy9oIdbuKV54WHJw-Zg642r_kcU4MDc3qann__dy8P7980g&usqp=CAE,None,None,2,8367772379259628754,None
Puma Pacer Future Men%27s Sneakers%2C Black%2C 13,Poshmark,https://poshmark.com/listing/Puma-Mens-Pacer-Future-Shoe-size-13-65031b2c3b982a0945b67039?srsltid=AfmBOope_BWxuLfgayK25ovnCvVSHMCpbrex0-YTLsqzA1ae-6Fh6x0xjXA%23utm_source=gdm_unpaid,$35.00 used,$7.97 shipping,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSMmeoGq8OZIJGNYvitQcKvy7s0R3dtw6IHktjJZyapsRcWT0N9uq8WUYy_7TXDLvrL-mW5&usqp=CAE,None,None,3,393267060783446430,None
Puma Softride Pro Echo Slip-On Women%27s Running Shoes%2C Black%2C 9.5,Amazon.com - Seller,https://www.amazon.com/Puma-Womens-Softride-Running-Sneakers/dp/B0CYWHZGBW?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=AG670YE9WDQRF,$64.95,Free shipping,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRede2cHRIJZPMzNAk4_jJ-B_URYaxcXMeAASR6CJVUbwlIy1x8oIDVamOaQ_mn0_Y4CvzwWg&usqp=CAE,None,None,2,2662180862507553705,None
