title,source,link,price,delivery,imageUrl,rating,ratingCount,offers,productId,position
Adidas Men%27s Ultraboost 20 Running Shoes%2C Black,GOAT,https://www.goat.com/sneakers/ultraboost-20-consortium-black-gold-ee4393?srsltid=AfmBOor1oik8ctr459yYOTtxlAEi4NB6yI6EGEOmt_T5ju0TbrtHUQ77NHQ,$2%2C470.00,$14.75 shipping,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSWJdLZYAUW3uB89bSsIrpDWZkbb1QGt4c_RjMmNSvaN2vZCg2ZkdnbQZrMgqwV_np-8rB8sQ&usqp=CAE,None,None,3,15933784549132292513,None
Adidas Men%27s Ultraboost 19 Running Shoes%2C Black,StockX,https://stockx.com/adidas-ultra-boost-2019-oreo?country=US&currencyCode=USD&size=11&size-conversion=us%2Bm,$200.00,$14.95 shipping,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSUXdsepGKOPfzOm3bJY5Us1HQa5tDvg6Dw1pZdmbQ_5O2NFqOvETZYh3YdPASPU9gfj1_e&usqp=CAE,None,None,4,13002273120668544876,None
Adidas Ultraboost DNA XXII - Non Dyed Bright Red - Shoes - White,eBay - lr1388,https://www.ebay.com/itm/205334780395?chn=ps&mkevt=1&mkcid=28&google_free_listing_action=view_item&srsltid=AfmBOoot-h2fJLK0QrRbGD1_IRXIBVSAh5k2ZcWc9hAvv6h98iV2TX50rwo,$95.00,$14.95 shipping,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRn6Ucpwv7PnO-IkMJHRH5aa44q7H0goFnZUyPG_oMOiVp1oR-CM7qrFOmvmJVswJst_U3R&usqp=CAE,None,None,5%2B,11796018539846330058,None
Adidas Kaptir 3.0 3-Stripe Men%27s Running Shoes%2C Size: 13%2C Wonder Beige Alumina,Zappos.com,https://www.zappos.com/product/9967759/color/1094724?utm_medium=fpa&utm_campaign=free_listings,$89.95,Free shipping,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTqNtFd2W2A-U0-0NIIfk62oBhMtrZZmPtz8wIBDhcfJF9or_b4Q5gf89_kvY4H5QQ4J-cn&usqp=CAE,None,None,5%2B,3922577152012984505,None
Adidas Kids%27 Grade School Ultrarun 5 Shoes%2C Size 4.5%2C Red/White/Black,DICK%27S Sporting Goods,https://www.dickssportinggoods.com/p/adidas-kids-grade-school-ultrabounce-5-shoes-24adiyltrbnc5lvgrkds/24adiyltrbnc5lvgrkds?sku=25386926&srsltid=AfmBOoo7qCacJ4Yes37DZAGN0pcmqCyNOWbyLf_bp8ec20Fi1m1DrUZ-gN4,$35.97,$8.99 shipping,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcS41nZFvabNr7FCaly3sGHI8dPFaBa6HHD-ckuZdXm8QnVXymm6xioAWOUn0B1vMzDRWtOI&usqp=CAE,None,None,5%2B,8564179337986519310,None
Adidas Women%27s Edge Lux 6.0 Running Shoes%2C Size 10%2C White/Grey %7C Back to School,shoebacca.com,https://www.shoebacca.com/products/edge-lux-vi-lace-up-sneakers-id1951,$54.95,Free shipping,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSdpaROC_6R5CStsHUqJrTCFWHZR-b7iQ2aGT8R_JUR8lw0GbFtL6VU_xEVssv1R3jzQ7rBrA&usqp=CAE,None,None,None
Men%27s Ultraboost Running Shoes %7C Black/Black/Black %7C 5 %7C Adidas,Flight Club,https://www.flightclub.com/ultra-boost-4-0-core-black-bb6166?size=5&srsltid=AfmBOoo7HuM0qKkYyuIHAmTf22llKkBWJVMRHkt8YoZepYFUTrhYHQU8I34,$166.00,$33.75 shipping,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRxkvNbMTDDHNNB_1owE7cWd5D27__OcramaKh-x4bSMcmqSCk_zfI97NLNPQlFv4u_6iP8-A&usqp=CAE,None,None,2,14949543355604589396,None
Adidas Run 70s 2.0 Women%27s Sneakers%2C Size: 5%2C White Black,Kohl%27s,https://www.kohls.com/product/prd-6733520/adidas-run-70s-20-womens-sneakers.jsp?skuid=79024294&CID=seo_offers&utm_campaign=SAG&utm_medium=organic&utm_source=google&utm_product=79024294,$70.00,Free shipping,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQ1WyWmUFkT4ZcvW_Gy1boqpPnS7R6BodU-ZMOBUF6tmQedjCM-UeYuFAB2FCy1aJcqSRWjNQ&usqp=CAE,None,None,5%2B,14081378002773890596,None
Adidas Men%27s Kaptir 3.0 Shoes%2C Size 13%2C White/Black/Grey,Amazon.com - Seller,https://www.amazon.com/Adidas-IE6624-Kaptir-3-0-Shoes/dp/B0CPS3KLHZ?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A1BJJJOIYTIZKQ,$67.26,Free shipping,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRqojNB70zUkVMy5SOJZ2vY8BiCAyt-wZSjv5qFCxpl9G7g4jlXNa3PjGCe6sdhOu7QQulPrg&usqp=CAE,None,None,5%2B,13470693499547757698,None
Adidas Womens Originals SL 72 - Running Shoes Semi Flash Aqua/Bright Red/Clear Sky Size 06.0,Hibbett Sports,https://www.hibbett.com/adidas-originals-sl-72-og-turquoise-semi-flash-aqua-bright-red-womens-shoe/51582674.html?utm_source=google&utm_medium=organic&utm_campaign=surfaces,$63.95,$8.99 shipping,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQw2Vzilzq2LZGFw6_TZ3O6x_-RFL3_whuPUCTEa05gVKfrxXEJWX-NRRO1Dfc3VFG2tkTM&usqp=CAE,None,None,10%2B,11942382140082451999,None
